sequence,level,property_type,identifier,module,class_term,property_term,association_role,representation_term,associated_module,associated_class,multiplicity,definition,label_local,definition_local,id
547,2,Attribute,,lnk,Summary Context Scenario Explicit Dimension,Summary Context Scenario Explicit Dimension Element,,QName,,,1..1,The QName value must be resolved to a valid explicit dimension item used in scenario.,集約シナリオエクスプリシットディメンション,シナリオで利用されるQNameの値は妥当なエクプリシットディメンション項目を示さなければならない。,LN07-01
548,1,Class,,lnk,Summary Context Scenario Typed Dimension,,,,,,0..*,This class allows to explicitly indicate the information related to a typed dimension in the scenario of the context for a fact in the FR instance.,【集約シナリオタイプトディメンション】,集約シナリオのタイプトディメンションの記述の指定場所。,LN08
549,2,Attribute,,lnk,Summary Context Scenario Typed Dimension,Summary Context Scenario Typed Dimension Element,,QName,,,1..1,The QName value must be resolved to a valid typed dimension item used in scenario.,集約シナリオタイプトディメンション,シナリオで利用されるQNameの値は妥当なタイプトディメンション項目を示さなければならない。,LN08-01
550,1,Class,,lnk,Summary Context Scenario Simple Element Content,,,,,,0..*,This class allows to explicitly indicate the information related to a simple element in the scenario of the context for a fact in the FR instance.,【集約シナリオシンプルエレメントコンテント】,シナリオの単一要素を表現するためのタプル。,LN09
551,2,Attribute,,lnk,Summary Context Scenario Simple Element Content,Summary Context Scenario Simple Element,,QName,,,1..1,"QName for the scenario simple element, if appropriate.",集約シナリオシンプルエレメント名,集約シナリオシンプルエレメントの記述のQName,LN09-01
552,2,Attribute,,lnk,Summary Context Scenario Simple Element Content,Summary Context Scenario Simple Element Value,,String,,,1..1,The value of the scenario simple element content.,集約シナリオシンプルエレメント値,集約シナリオシンプルエレメントの値。,LN09-02
553,1,Class,,lnk,Summary Context Entity,,,,,,0..1,This class allows to explicitly indicate the entity information for a fact in the FR instance.,【集約エンティティ】,集約のエンティティの記述の指定場所。,LN10
554,2,Attribute,,lnk,Summary Context Entity,Summary Context Entity ID,,Token,,,0..1,The value of the entity identifier.,集約エンティティ識別子,集約のエンティティ識別子の記述の指定場所。,LN10-01
555,2,Attribute,,lnk,Summary Context Entity,Summary Context Entity Scheme,,anyURI,,,0..1,The value of the entity scheme.,集約エンティティスキーム,集約のエンティティスキームの記述の指定場所。,LN10-02
556,2,Composition,,lnk,Summary Context Entity,,,,lnk,Summary Context Entity Segment,0..1,This class allows to explicitly indicate the information related to the segment in the context for a fact in the FR instance.,【集約エンティティセグメント】,集約のエンティティセグメントの記述の指定場所。,LN10-03
557,1,Class,,lnk,Summary Context Period (choice),,,,,,0..1,"This class allows to explicitly indicate the period information for a fact in the FR instance. Instant, Period Start/End and Forever are alternative.",【集約ピリオド】,集約のピリオドの記述の指定場所。,LN11
558,2,Attribute,,lnk,Summary Context Period (choice),Summary Context Period Instant,,Date Time,,,1..1,The value of the instant date.,集約ピリオドインスタント,集約のピリオドの特定の日付の記述の指定場所。,LN11-01
559,2,Attribute,,lnk,Summary Context Period (choice),Summary Context Period Forever,,String,,,1..1,"If the context should indicate ""forever"", this concept must be used. It accepts no value.",集約ピリオド無期限,集約のピリオドが無期限であることを示す指定場所。,LN11-02
560,2,Attribute,,lnk,Summary Context Period (choice),Summary Context Period Start Date (sequence),,Date Time,,,1..1,The value of the start date of the period.,集約ピリオド開始日付,集約のピリオドの開始日の記述の指定場所。,LN11-03
561,2,Attribute,,lnk,Summary Context Period (choice),Summary Context Period End Date (sequence),,Date Time,,,1..1,The value of the end date of the period.,集約ピリオド終了日付,集約のピリオドの終了日の記述の指定場所。,LN11-04
562,1,Class,,lnk,Summary Context Scenario,,,,,,0..1,This class allows to explicitly indicate the scenario information for a fact in the FR instance.,【集約シナリオ】,集約のシナリオの記述の指定場所。,LN12
563,2,Composition,,lnk,Summary Context Scenario,,,,lnk,Summary Context Scenario Explicit Dimension,0..*,This class allows to explicitly indicate the information related to an explicit dimension in the scenario of the context for a fact in the FR instance.,【集約シナリオエクスプリシットディメンション】,集約シナリオのエクスプリシットディメンションの記述の指定場所。,LN12-01
564,2,Composition,,lnk,Summary Context Scenario,,,,lnk,Summary Context Scenario Typed Dimension,0..*,This class allows to explicitly indicate the information related to a typed dimension in the scenario of the context for a fact in the FR instance.,【集約シナリオタイプトディメンション】,集約シナリオのタイプトディメンションの記述の指定場所。,LN12-02
565,2,Composition,,lnk,Summary Context Scenario,,,,lnk,Summary Context Scenario Simple Element Content,0..*,This class allows to explicitly indicate the information related to a simple element in the scenario of the context for a fact in the FR instance.,【集約シナリオシンプルエレメントコンテント】,シナリオの単一要素を表現するためのタプル。,LN12-03
566,2,Attribute,,lnk,Summary Context Scenario,Summary Context Scenaio Non Dimensional Contents,,String,,,0..*,The value must be CDATA and a valid XML fragment.,集約シナリオ非ディメンションコンテント,CDATAであり、妥当なXML記述でなければならない。,LN12-04
567,1,Class,,lnk,Summary Context,,,,,,0..1,This class allows to explicitly indicate the context information for a fact in the FR instance.,【集約コンテキスト】,集約のコンテキストの記述の指定場所。,LN13
568,2,Composition,,lnk,Summary Context,,,,lnk,Summary Context Entity,0..1,This class allows to explicitly indicate the entity information for a fact in the FR instance.,【集約エンティティ】,集約のエンティティの記述の指定場所。,LN13-01
569,2,Composition,,lnk,Summary Context,,,,lnk,Summary Context Period (choice),0..1,"This class allows to explicitly indicate the period information for a fact in the FR instance. Instant, Period Start/End and Forever are alternative.",【集約ピリオド】,集約のピリオドの記述の指定場所。,LN13-02
570,2,Composition,,lnk,Summary Context,,,,lnk,Summary Context Scenario,0..1,This class allows to explicitly indicate the scenario information for a fact in the FR instance.,【集約シナリオ】,集約のシナリオの記述の指定場所。,LN13-03
571,1,Class,,btx,Header_ Amount Structure,,,,,,0..*,"Structure representing monetary amounts and currency information applicable to the document as a whole, such as document-level totals or aggregated tax amounts.",【ヘッダー金額構造】,文書全体に適用される金額や通貨情報（文書レベルの合計額や集計された税額など）を表現する構造。,BT01
572,2,Attribute,,btx,Header_ Amount Structure,Amount,,Monetary,,,1,Numeric value of the monetary amount expressed in the specified currency.,金額,指定された通貨で表現された金額の数値。,BT01-01
573,2,Attribute,,btx,Header_ Amount Structure,Amount Type,,Token,,,0..1,"Code or text specifying the type or role of the amount, such as tax amount, tax base amount, allowance amount, or charge amount.",金額種別,税額、課税標準額、値引金額、追加請求金額など、金額の種類または役割を指定するコードまたはテキスト。,BT01-02
574,2,Attribute,,btx,Header_ Amount Structure,Currency Code,,Token,,,0..1,"Code specifying the currency in which the amount is expressed, typically an ISO 4217 currency code.",通貨コード,金額が表現される通貨を指定するコード。通常は ISO 4217 通貨コードを用いる。,BT01-03
575,2,Attribute,,btx,Header_ Amount Structure,Currency Code Type,,Token,,,0..1,"Code specifying the role of the currency used for the amount, such as functional currency, local currency, reporting currency, or transaction currency.",通貨コード種別,金額に対する通貨の役割（機能通貨、ローカル通貨、報告通貨、取引通貨など）を指定するコード。,BT01-04
576,2,Attribute,,btx,Header_ Amount Structure,Header_ Amount Type,,String,,,0..1,"Code or text specifying the type or role of the amount, such as tax amount, tax base amount, allowance amount, or charge amount.",金額種別,税額、課税標準額、値引金額、追加請求金額など、金額の種類または役割を指定するコードまたはテキスト。,BT01-05
